"Interval start","Tutti i pacchetti","Errori TCP"
0,5,0
1,4,0
2,3,0
3,4,0
4,5,2
5,6,0
6,3,0
7,3,0
8,2,0
9,5,0
10,3,0
11,4,0
12,5,0
13,2,0
14,5,1
15,6,0
16,13,2
17,9,0
18,7,0
19,9,0
20,7,0
21,5,0
22,5,0
23,1,0
24,6,0
25,40,27
26,81,74
27,23,6
28,4,0
29,3,0
30,0,0
31,4,0
32,3,0
33,7,0
34,3,0
35,9,0
36,6,0
37,7,2
38,4,0
39,1,0
40,4,0
41,4,0
42,8,0
43,1,0
44,3,0
45,4,0
46,4,0
47,4,2
48,4,0
49,1,0
50,3,0
51,2,0
52,4,0
53,5,0
54,3,0
55,3,0
56,3,0
57,7,2
58,3,0
59,1,0
60,1,0
61,3,0
62,2,0
63,3,0
64,2,0
65,4,0
66,9,2
67,6,2
68,4,0
69,12,0
70,3,0
71,4,0
72,3,0
73,5,0
74,7,0
75,5,0
76,9,1
77,13,5
78,11,0
79,1,0
