"level","parent","Topic / Item","Count","Average","Min Val","Max Val","Rate (ms)","Percent","Burst Rate","Burst Start",
0,"","All Addresses",158,,,,0,0009,100%,0,1600,31,689
1,"/All Addresses","40.84.185.67",33,,,,0,0002,20,89%,0,0500,0,363
1,"/All Addresses","239.255.255.250",7,,,,0,0000,4,43%,0,0100,39,268
1,"/All Addresses","224.0.0.251",32,,,,0,0002,20,25%,0,0100,0,877
1,"/All Addresses","224.0.0.22",4,,,,0,0000,2,53%,0,0100,37,605
1,"/All Addresses","20.82.210.154",1,,,,0,0000,0,63%,0,0100,37,631
1,"/All Addresses","20.82.209.183",1,,,,0,0000,0,63%,0,0100,37,632
1,"/All Addresses","20.54.37.73",21,,,,0,0001,13,29%,0,1000,93,444
1,"/All Addresses","20.54.36.229",9,,,,0,0001,5,70%,0,0200,33,274
1,"/All Addresses","20.54.232.160",22,,,,0,0001,13,92%,0,1500,31,689
1,"/All Addresses","192.168.225.201",130,,,,0,0007,82,28%,0,1500,31,689
1,"/All Addresses","192.168.225.193",36,,,,0,0002,22,78%,0,0300,31,618
1,"/All Addresses","192.168.1.1",3,,,,0,0000,1,90%,0,0100,165,070
1,"/All Addresses","172.64.204.4",11,,,,0,0001,6,96%,0,0700,174,203
1,"/All Addresses","103.86.99.100",3,,,,0,0000,1,90%,0,0100,167,088
1,"/All Addresses","103.86.96.100",3,,,,0,0000,1,90%,0,0100,166,079
